,Ch,Ig,Gr,Mi,F,Sum
 Excess kurtosis of the integrated profile,6.0,9.0,9.0,11.0,10.0,45.0
 Skewness of the integrated profile,9.0,9.0,9.0,9.0,9.0,45.0
 Standard deviation of the DM-SNR curve,7.0,9.0,9.0,8.0,8.0,41.0
 Skewness of the DM-SNR curve,11.0,9.0,9.0,5.0,4.0,38.0
 Mean of the integrated profile,8.0,4.0,4.0,10.0,11.0,37.0
 Excess kurtosis of the DM-SNR curve,5.0,9.0,9.0,7.0,7.0,37.0
 Mean of the DM-SNR curve,10.0,5.0,5.0,6.0,5.0,31.0
 Standard deviation of the integrated profile,4.0,6.0,6.0,4.0,6.0,26.0
cap-surface,2.0,3.0,3.0,2.0,2.0,12.0
class,3.0,1.0,1.0,1.0,3.0,9.0
cap-shape,1.0,2.0,2.0,3.0,1.0,9.0
